,vehicleno,start,Customer City,s,ChargeIn,ChargeOut
0,M7RKR0801ADA00714,2023-01-04 06:47:00,Supaul,1,30-40,60-70
1,M7RKR0801ADA00715,2023-01-09 05:37:00,,1,20-30,70-80
2,M7RKR0801ADA00716,2023-01-06 05:57:00,,1,60-70,70-80
3,M7RKR0801ADA00716,2023-01-06 09:35:00,,1,70-80,80-90
4,M7RKR0801ADA00716,2023-01-09 09:30:00,,1,40-50,60-70
5,M7RKR0801ADA00717,2023-01-09 10:42:00,,1,20-30,30-40
6,M7RKR0801ADA00717,2023-01-09 11:19:00,,1,20-30,40-50
7,M7RKR0801ADA00718,2023-01-09 06:57:00,,1,20-30,80-90
8,M7RKR0801ADA00719,2023-01-09 04:51:00,,1,20-30,70-80
9,M7RKR0801ADA00723,2023-01-10 12:36:00,,1,,0-10
10,M7RKR0801ADA00723,2023-01-11 10:27:00,,1,0-10,90-100
11,M7RKR0801ADA00724,2023-01-03 13:00:00,,1,20-30,90-100
12,M7RKR0801ADA00725,2023-01-04 03:42:00,,1,50-60,60-70
13,M7RKR0801ADA00725,2023-01-04 04:42:00,,1,30-40,60-70
14,M7RKR0801ADA00726,2023-01-04 05:14:00,,1,20-30,50-60
15,M7RKR0801ADA00728,2023-01-03 11:06:00,,1,20-30,90-100
16,M7RKR0801ADA00729,2023-01-03 11:06:00,,1,50-60,90-100
17,M7RKR0801ADA00732,2023-01-03 11:23:00,,1,20-30,90-100
18,M7RKR0801ADA00734,2023-01-03 10:52:00,Patna,1,20-30,90-100
19,M7RKR0801ADA00738,2023-01-11 04:43:00,,1,20-30,30-40
20,M7RKR0801ADA00738,2023-01-16 12:35:00,,1,20-30,90-100
21,M7RKR0801ADA00739,2023-01-04 09:07:00,,1,20-30,30-40
22,M7RKR0801ADA00740,2023-01-09 12:13:00,,1,30-40,40-50
23,M7RKR0801ADA00741,2023-01-05 10:02:00,,1,20-30,60-70
24,M7RKR0801ADA00742,2023-01-09 11:18:00,,1,20-30,30-40
25,M7RKR0801ADA00743,2023-01-10 09:50:00,,1,50-60,60-70
26,M7RKR0801ADA00743,2023-01-10 10:59:00,,1,30-40,40-50
27,M7RKR0801ADA00743,2023-01-11 04:46:00,,1,40-50,40-50
28,M7RKR0801ADA00743,2023-01-19 06:59:00,,1,30-40,90-100
29,M7RKR0801ADA00744,2023-01-10 06:33:00,,1,20-30,30-40
30,M7RKR0801ADA00744,2023-01-10 08:51:00,,1,20-30,60-70
31,M7RKR0801ADA00745,2023-01-02 06:22:00,,1,80-90,90-100
32,M7RKR0801ADA00746,2023-01-10 05:40:00,,1,50-60,60-70
33,M7RKR0801ADA00746,2023-01-10 08:25:00,,1,60-70,80-90
34,M7RKR0801ADA00747,2023-01-09 11:21:00,,1,20-30,90-100
35,M7RKR0801ADA00748,2023-01-16 11:27:00,,1,30-40,90-100
36,M7RKR0801ADA00749,2023-01-10 06:30:00,,1,20-30,20-30
37,M7RKR0801ADA00749,2023-01-10 08:36:00,,1,20-30,60-70
38,M7RKR0801ADA00750,2023-01-10 06:05:00,,1,50-60,90-100
39,M7RKR0801ADA00751,2023-01-10 05:47:00,,1,50-60,60-70
40,M7RKR0801ADA00751,2023-01-10 11:48:00,,1,20-30,90-100
41,M7RKR0801ADA00752,2023-01-11 12:27:00,,1,20-30,90-100
42,M7RKR0801ADA00753,2023-01-10 05:27:00,,1,50-60,90-100
43,M7RKR0801ADA00755,2023-01-10 06:04:00,,1,50-60,80-90
44,M7RKR0801ADA00755,2023-01-11 04:43:00,,1,50-60,90-100
45,M7RKR0801ADA00757,2023-01-06 04:58:00,,1,50-60,60-70
46,M7RKR0801ADA00757,2023-01-06 09:06:00,,1,60-70,70-80
47,M7RKR0801ADA00757,2023-01-09 10:22:00,,1,20-30,50-60
48,M7RKR0801ADA00758,2023-01-11 11:57:00,,1,40-50,90-100
49,M7RKR0801ADA00759,2023-01-12 09:29:00,,1,20-30,90-100
50,M7RKR0801ADA00760,2023-01-05 08:54:00,,1,60-70,60-70
51,M7RKR0801ADA00760,2023-01-17 14:39:00,,1,40-50,90-100
52,M7RKR0801ADA00761,2023-01-10 05:49:00,,1,,90-100
53,M7RKR0801ADA00762,2023-01-09 10:03:00,,1,50-60,70-80
54,M7RKR0801ADA00762,2023-01-10 04:08:00,,1,30-40,60-70
55,M7RKR0801ADA00763,2023-01-04 09:22:00,,1,20-30,30-40
56,M7RKR0801ADA00764,2023-01-10 04:42:00,,1,30-40,90-100
57,M7RKR0801ADA00765,2023-01-09 11:53:00,,1,20-30,30-40
58,M7RKR0801ADA00766,2023-01-10 07:17:00,,1,20-30,50-60
59,M7RKR0801ADA00768,2023-01-09 10:07:00,,1,20-30,50-60
60,M7RKR0801ADA00769,2023-01-10 06:10:00,,1,20-30,50-60
61,M7RKR0801ADA00771,2023-01-18 09:09:00,,1,20-30,90-100
62,M7RKR0801ADA00772,2023-01-09 10:51:00,,1,20-30,40-50
63,M7RKR0801ADA00773,2023-01-03 11:48:00,,1,10-20,90-100
64,M7RKR0801ADA00776,2023-01-09 12:14:00,,1,30-40,40-50
65,M7RKR0801ADA00777,2023-01-07 05:52:00,,1,20-30,80-90
66,M7RKR0801ADA00777,2023-01-09 06:14:00,,1,30-40,70-80
67,M7RKR0801ADA00779,2023-01-09 08:46:00,,1,20-30,40-50
68,M7RKR0801ADA00780,2023-01-10 09:44:00,,1,20-30,70-80
69,M7RKR0801ADA00782,2023-01-13 10:02:00,,1,90-100,90-100
70,M7RKR0801ADA00797,2023-01-18 12:23:00,,1,30-40,90-100
71,M7RKR0801ADA00799,2023-01-18 12:03:00,,1,30-40,90-100
72,M7RKR0801BCA00009,2023-01-02 09:31:00,,1,60-70,60-70
73,M7RKR0801BCA00009,2023-01-02 12:19:00,,1,40-50,90-100
74,M7RKR0801BCA00009,2023-01-04 11:06:00,,1,0-10,90-100
75,M7RKR0801BCA00009,2023-01-05 12:25:00,,1,10-20,90-100
76,M7RKR0801BCA00009,2023-01-06 10:14:00,,1,0-10,90-100
77,M7RKR0801BCA00009,2023-01-07 07:00:00,,1,0-10,90-100
78,M7RKR0801BCA00009,2023-01-09 10:09:00,,1,0-10,20-30
79,M7RKR0801BCA00009,2023-01-09 11:54:00,,1,10-20,90-100
80,M7RKR0801BCA00009,2023-01-12 10:50:00,,1,0-10,90-100
81,M7RKR0801BCA00009,2023-01-17 07:54:00,,1,0-10,90-100
82,M7RKR0801BCA00009,2023-01-18 07:42:00,,1,0-10,90-100
83,M7RKR0801BCA00009,2023-01-19 07:49:00,,1,0-10,50-60
84,M7RKR0801BCA00009,2023-01-19 11:43:00,,1,50-60,90-100
85,M7RKR0801CCA00018,2023-01-19 05:28:00,,1,40-50,90-100
86,M7RKR0801CCA00025,2023-01-04 11:57:00,,1,10-20,30-40
87,M7RKR0801CCA00025,2023-01-05 05:46:00,,1,20-30,70-80
88,M7RKR0801CCA00025,2023-01-05 08:47:00,,1,60-70,90-100
89,M7RKR0801CCA00025,2023-01-06 13:02:00,,1,80-90,90-100
90,M7RKR0801CCA00025,2023-01-08 12:31:00,,1,80-90,90-100
91,M7RKR0801CCA00025,2023-01-09 06:06:00,,1,80-90,90-100
92,M7RKR0801CCA00025,2023-01-09 09:37:00,,1,50-60,90-100
93,M7RKR0801CCA00029,2023-01-02 11:08:00,,1,10-20,90-100
94,M7RKR0801CCA00029,2023-01-03 10:45:00,,1,10-20,50-60
95,M7RKR0801CCA00029,2023-01-04 04:04:00,,1,40-50,90-100
96,M7RKR0801CCA00029,2023-01-04 12:54:00,,1,10-20,90-100
97,M7RKR0801CCA00029,2023-01-05 12:29:00,,1,10-20,90-100
98,M7RKR0801CCA00029,2023-01-06 11:24:00,,1,10-20,90-100
99,M7RKR0801CCA00029,2023-01-07 06:21:00,,1,0-10,90-100
100,M7RKR0801CCA00029,2023-01-09 11:00:00,,1,0-10,90-100
101,M7RKR0801CCA00029,2023-01-11 11:33:00,,1,0-10,90-100
102,M7RKR0801CCA00029,2023-01-13 11:50:00,,1,0-10,90-100
103,M7RKR0801CCA00029,2023-01-14 09:49:00,,1,10-20,90-100
104,M7RKR0801CCA00029,2023-01-16 11:58:00,,1,10-20,40-50
105,M7RKR0801CCA00029,2023-01-16 17:04:00,,1,40-50,90-100
106,M7RKR0801CCA00029,2023-01-17 07:04:00,,1,0-10,90-100
107,M7RKR0801CCA00029,2023-01-18 11:34:00,,1,10-20,90-100
108,M7RKR0801CCA00029,2023-01-19 06:39:00,,1,0-10,90-100
109,M7RKR0801FCA00035,2023-01-01 00:04:00,Pune,1,0-10,90-100
110,M7RKR0801FCA00035,2023-01-01 13:22:00,Pune,1,40-50,90-100
111,M7RKR0801FCA00035,2023-01-02 12:51:00,Pune,1,50-60,70-80
112,M7RKR0801FCA00035,2023-01-02 14:59:00,Pune,1,70-80,70-80
113,M7RKR0801FCA00035,2023-01-03 10:34:00,Pune,1,60-70,90-100
114,M7RKR0801FCA00035,2023-01-03 16:28:00,Pune,1,60-70,70-80
115,M7RKR0801FCA00035,2023-01-05 06:30:00,Pune,1,10-20,90-100
116,M7RKR0801FCA00035,2023-01-05 13:02:00,Pune,1,70-80,80-90
117,M7RKR0801FCA00035,2023-01-05 14:54:00,Pune,1,60-70,80-90
118,M7RKR0801FCA00035,2023-01-06 02:02:00,Pune,1,80-90,90-100
119,M7RKR0801FCA00035,2023-01-06 15:15:00,Pune,1,50-60,50-60
120,M7RKR0801FCA00035,2023-01-06 16:31:00,Pune,1,50-60,60-70
121,M7RKR0801FCA00035,2023-01-09 08:26:00,Pune,1,90-100,90-100
122,M7RKR0801FCA00035,2023-01-09 16:22:00,Pune,1,60-70,70-80
123,M7RKR0801FCA00035,2023-01-10 09:30:00,Pune,1,0-10,70-80
124,M7RKR0801FCA00035,2023-01-11 08:51:00,Pune,1,30-40,90-100
125,M7RKR0801FCA00035,2023-01-12 11:29:00,Pune,1,10-20,30-40
126,M7RKR0801FCA00035,2023-01-12 14:44:00,Pune,1,20-30,30-40
127,M7RKR0801FCA00035,2023-01-12 15:58:00,Pune,1,20-30,40-50
128,M7RKR0801FCA00035,2023-01-13 11:04:00,Pune,1,50-60,90-100
129,M7RKR0801FCA00035,2023-01-14 08:06:00,Pune,1,90-100,90-100
130,M7RKR0801FCA00035,2023-01-14 12:29:00,Pune,1,70-80,80-90
131,M7RKR0801FCA00035,2023-01-15 15:21:00,Pune,1,0-10,90-100
132,M7RKR0801FCA00035,2023-01-16 10:51:00,Pune,1,50-60,80-90
133,M7RKR0801FCA00035,2023-01-16 14:29:00,Pune,1,70-80,90-100
134,M7RKR0801FCA00035,2023-01-17 11:47:00,Pune,1,60-70,90-100
135,M7RKR0801FCA00035,2023-01-17 15:04:00,Pune,1,50-60,80-90
136,M7RKR0801FCA00036,2023-01-02 09:10:00,Pune,1,40-50,90-100
137,M7RKR0801FCA00036,2023-01-07 16:28:00,Pune,1,40-50,90-100
